content,score,preprocess
seru penuh strategi,5,seru penuh strategi
klo bisa di zoom klo main mngkin mkin mnarik,4,zoom mnarik
adu hero/sinergi✖️ adu hoki✅ bjir lah 😐,4,adu herosinergi adu untung bjir
kembalikan thamuz yang dulu,5,kembali thamuz
dyroot jangan dihapus ples monton terus rank sampe imortal nak gakgua pensi sama stak Natan jadi sebelas ya ples 😀,5,dyroot jangan hapus ples monton rank imortal nak gakgua pensi stak natan sebelas ples
suka bangeetzzz,5,suka bangeetzzz
"kenapa saya tidak dapat masuk ke permainan setelah saya mencapai mythic, kenapa???????",1,tidak masuk main capai mythic
biasa bae,3,bae
perfec,5,perfec
lumayan lah nimbang meneng,5,lumayan nimbang neng
"GAME ANJ GA KONSISTEN TAIK, NGASIH SHOP IN GAME JELEK MULU",5,anjing tidak konsisten tahi asih shop jelek mulu
"ok, rate untuk kesamaan sinerginya di tambahkan sedikit lagi",5,ok rate sama sinergi tambah sedikit
"gak jauh beda Ama Abang nya ni game, jelek kali sistem matchmaking nya...",1,tidak beda abang nih jelek sistem matchmaking
"moonton ku yang baik, Semakin sayang dehhh.",5,sayang
tolong dong evennnya diperbanyak ini game tolong diperbaiki seperti lobbynya gerakan karakter dan juga lagunya diganti semoga berkolaborasi dengan bintang terkenal,3,tolong evennnya banyak tolong baik lobbynya gera karakter lagu ganti moga kolaborasi bintang kenal
saya suka... saya suka 😁😁😁😁😁,5,suka suka
alhamdulillah gak rusak kanyak ff,5,alhamdulillah tidak rusak kanyak ff
seru dan ngasak otak,5,seru ngasak otak
masih banyak yg harus di perbaiki seperti dalam pemberian hero yg belum adil dan game terlalu smooth,1,baik beri hero belum adil smooth
good gem nya saya suka,5,good suka
lamain waktunya pas pemilihan hero!,1,lamain pilih hero
mantap deh bisa menghilangkan rasa galaw haha,5,mantap hilang galaw haha
bagusss ws terus gw karena gw jago,5,bagus ws jago
game nya seru sekali dan Hero nya keren keren dan bisa dimainkan kalo Gabut,5,seru hero keren keren main bosan
"match nya g ngotak,trus g ngotak",1,match ngotaktrus ngotak
"makin ampas, pusing mata gw kontras merah kuning nya bikin BUTA njirr, combo ampas""",1,ampas pusing mata kontras merah kuning buta anjir combo ampas
ya inisi emang bagus ya,5,inisi bagus
game rusak masak kaya main judi hoki hokian gajelas,1,rusak masak judi untung hoki
kok sya gak ada ketemu sama comender valir dan lunox di megic chess gogo,5,tidak ketemu comender valir lunox megic gogo
banyak sekali SCAM tiap pake comandee jhonson,1,scam comandee jhonson
udah di kasih bintang 5 nih ...montoon tolong kasih hero yg sinergi nya sama tros,5,bintang nih montoon tolong hero sinergi tros
aku kalo main game ini pas lagi bosen aj dan yg biki aku lumayan suka sama game ny itu pas aku dalam match aku bisa jalan sama lompat jalan nya juga lucu banget😍😍😍semangat ya min😘😘😘😘😊😊,5,bosan bik lumayan suka match jalan lompat jalan lucu bangetsemangat min
"balikin skil2 comander yg dulu,, gara2 skil comandernya cuma 1 jadinya kombonya kurang beragam,, gw kangen sama skil 3 comander angela,, coba main di season nostalgia pasti isinya cuma kombo ruby imortal pake com yuki itu doang",1,balikin skil comander gara skil comandernya kombo kurang agam kangen skil comander angela coba season nostalgia isi kombo ruby imortal com yuk doang
game nya ngeselin bab1,1,kesal bab
mantap.. gass aza,5,mantap gass aza
gogogo,5,gogogo
"Hey bang, ini bukan perubahan tapi pemaksaan, commander skill diubah drastis, model commander diambil dari hero mlbb, serius? Tidak ada kreativitas sama sekali, gameplay jadi monoton Saya antusias saat ada kabar magic chess akan dibuat aplikasi sendiri, tapi ini sampah menurut saya",1,hey bukan ubah tapi paksa commander skill ubah drastis model commander ambil hero mlbb serius tidak kreativitas gameplay monoton antusias kabar aplikasi tapi sampah
game rusak parah men,1,rusak parah men
skin mahal,1,skin mahal
ngelag! padahal sinyal udh bagus dan karena ngelag ini jadi kalah dan pas udh balik semua hp malah sisa dikit dan ujungnya kalah,2,lag sinyal bagus lag kalah ponsel sisa dikit ujung kalah
"gamenya bagus, tapi kalau saya sudah 1 sinergi sudah 6 ngga pernah dapet heronya jadi lama lama bikin males",3,bagus tapi sinergi hero malas
adu strategi...,5,adu strategi
seru sih tapi shop nya kagak ada yg bener gmn mau B3 nyampe b2 ny aja susah,1,seru tapi shop kagak bintang bintang susah
sulit mendapatkan blesing..,4,sulit blesing
"Ada kesalahan tentang skill Harper ,kenapa efek nya gak ngaruh ke gameplay untuk pengurangan damage comander nya tidak ada pengaruhnya sama sekali dan shield yg di daoat juga tidak dapat mengurangi damage ,mohon di perbaiki",2,salah skill harper efek tidak ngaruh gameplay kurang damage comander tidak pengaruh shield daoat tidak kurang damage mohon baik
asik dan keren,5,asik keren
"ini gimana ya kok susah bgt buat di sambungin ke akun ml nya,harusnya langsung login aja ga perlu login lagi mau nangis bgt rank nya udah mythic tapi gabisa login'(",1,susah sambungin akun ml nyaharusnya langsung login tidak login menang rank mythic tapi login
hei ini game nya ko di tinggal sbntr langsung keluar permainan padahal hanabi gue udh bintang 3 aksjshsjjjs jadi betmut,3,hei tinggal sbntr langsung main hanabi gue bintang aksjshsjjjs betmut
mantap Tolong rojernya biar Ada d magic cristal,5,mantap tolong rojernya biar cristal
"kasih Hero yang jelas lah, persenan gede ngasih Hero ga sesuai",1,hero persen gede asih hero tidak sesuai
tidak kompeten,1,tidak kompeten
"paling susah mendapatkan hero 4 sama 5 koin,contoh argus.alfa ,baru gampang sekali mati",1,susah hero koincontoh argusalfa gampang mati
GUA DARAH SISA 10 DI BERI MUSUH YG DARAH 100 G ADA OTAK NAPA,1,darah sisa musuh darah otak
bagus bayakin lagi para-para di game ini,5,bagus bayakin parapara
"game kikir aneh kocak aneh ga jelas game aneh kalok dah menang ke satu, terus game selanjutnya malah dapet ggc jelek mulu kalok ga niat ngasih pengalaman yang enak untuk pemain ga usah bikin game kocak ini mah game nya sama aja kayak judi (hoki² an)",1,kikir aneh kocak aneh tidak aneh kalok menang ggc jelek mulu kalok tidak niat asih alam enak main tidak kocak mah judi hoki
game ya bagus jadi aku kasih bintang 5,5,bagus bintang
game asiik banget,5,asiik
salah satu game terseru yang pernah saya mainkan,5,salah seru main
permainan yang menyenangkan tapi hanya bisa mengandalkan keberuntungan karna moonton picik,5,main senang tapi andal untung picik
"Tidak seperti game strategi seperti yang disebutkan di deskripsi, lebih ke game keberuntungan saja untuk mendapatkan hero dan equitment yang tepat",1,tidak strategi deskripsi untung hero equitment
NGASI WAKTU BUAT NARO HERO YANG LAMA KEK INI BENTAR BANGET GILAK,1,asih naro hero bentar gila
lebih adil waktu rol pemilihan Hero yaa,5,adil rol pilih hero
"maaf bgt nih, lg enk² main tb² black screen, pas login lg eh pembaruan (?) apalah",2,maaf nih enk tb black screen login eh baru apa
wkwk masih bingung cara mainnya ditambah lagi gk bisa lihat hero² nya lawan gk kaya magic chess yg season dulu bisa klik di pojok bawah kelihatan deh hero²nya lawan apa ajh yg mereka pakai. eh malah sekarang harus klik atu² deh wkwk ketauan nyonteknya,5,wkwk bingung main tambah tidak lihat hero lawan tidak season klik pojok hero nya lawan pakai eh klik atu wkwk tahu nyonteknya
"magic chess sekarang ga seru kaya dulu, sekarang monton pelit hero nya buat naikin bintang **/*** aja susah, monton monton",2,tidak seru monton pelit hero naikin bintang susah monton monton
"game gajelas, pdhl udh pake line up sinergi di lobby tapi setiap main susah bgt ketemu Hero sesuai line up sinergi, sial!",1,line up sinergi lobby tapi susah ketemu hero sesuai line up sinergi sial
geme bisa main di situasi apa pun lagi perang pun main mc Gogo solusi nya,5,situasi perang gogo solusi
"Commander Tidak Bisa Memilih 3 Skill Yang Sebelumnya Bisa Memilih Salah Satu Dari 3 Skill Tsb, Jadi Menurutku Kurang Memuaskan, Sebagian Skin Mcpass Dihilangkan Seperti Skin Layla Twilight Padahal Banyak Player Yang Sebelumnya Memilikinya Termasuk Skin Limited Transformer Johnson Juga Dihilangkan, Ini Sangat Mengecewakan Player Sebelumnya, Moonton Kurang Menghargai Player Lama !",2,commander tidak pilih skill pilih salah skill turut kurang puas skin mcpass hilang skin layla twilight player milik skin limited transformer johnson hilang kecewa player kurang harga player
masih sering error pas pertandingan mending pas masih di gabung dari pada misah app nya. makin ngk jelas,1,error tanding mending gabung misah app tidak
gamenya udah bagus tapi makin lama makin ngerasa combo sinergi udah ga terlalu ngaruh lagi karena udah banyak commander yang bisa ikut campur dalam war nya,4,bagus tapi combo sinergi tidak ngaruh commander campur war
hero yg diinginkan jarang keluar,1,hero jarang
season nostalgia nya kok nggak dapat peti kalo menang?,3,season nostalgia peti menang
"Mantap walaupun hp ku kentang tapi masih enak,Apalagi banyak fiturnya",5,mantap ponsel kentang tapi enakapalagi fiturnya
"game yang seru dan menyenangkan, meski terkadang banyak keberuntungannya",5,seru senang terkadang untung
"pilih kasih uy, masa ga dapet² sih, udah gacha pake 50koin",1,pilih uy tidak dapet gacha koin
kurang hoki,1,kurang untung
suka dari pada ML skarang ga jelas,5,suka ml tidak
udh optimal g perlu di bahas. walaupun g tau kesalahannya apa aja .🔥,5,optimal bahas salah
game ini super mantap dan keren,5,super mantap keren
alhamdulillah bs ktmu lg sm mc yg lama,5,alhamdulillah ketemu
gem nya sagat 👍,5,sagat
game cuki Mai tharsnya kok Laen cuki mai,1,cuki mai tharsnya cuki mai
4X RESET BLESING MEG GA DPT2 YANG SESUAI SYNERGI GW PKE,1,reset blesing meg tidak sesuai synergi pakai
hay moonton gak jelas buat game ini gak bisa spin gak ada event cuma dikit,2,hai tidak tidak spin tidak event dikit
"game nya bagus cocok buat untuk anak jaman new, game nya seperti catur",5,bagus cocok anak jaman new catur
game yang sangat seru meskipun nih hoki hokian kadang bisa jadi juara padahal dg Hero yang sama juga bisa kalah,5,seru nih untung hoki kadang juara hero kalah
bagus bisa ngilangin mood yg jelek tp kdng mlh bikin stres kl lg main tp tetep lh ngilangin dikit is okey lh,4,bagus ngilangin mood jelek tapi kadang stres tapi ngilangin dikit is okey
"jangan top up di game rusak ini, uang udah masuk tapi diamond nya hilang 😆😆😆 game rusak...",1,jangan top up rusak uang masuk tapi diamond hilang rusak
MAIN MAGIC CHES BIAR NGABUTT MAIN DI ML RANK KALAH TURUS WKWKWW 😆🫣,5,ches biar ngabutt ml rank kalah turus wkwkww
sumpah geme ini seru banget lawan nya setara sama aku selalu menang 👋👋👋👋👋👋👋👋👋👋👋👋,5,sumpah seru lawan tara menang
ngasih musuh yang tidak setara dan setiap nyari hero gak pernah ngasih yang di butuhkan game jelek dan ada beberapa bug yang gak di benerin dari awal game ini rilis,1,asih musuh tidak tara cari hero tidak asih butuh jelek bug tidak benerin rilis
seru bisa ngilangin jenuh,5,seru ngilangin jenuh
game nya bagus si mantap seru,5,bagus mantap seru
gw suka game setrategis tapi sayangnya durasi 1 gamenya kelamaan tapi setidaknya gamenya bisa bikin senang buat di mainin😁😁😁,5,suka setrategis tapi sayang durasi tapi senang mainin
seru enaknya juga dimainin sambil nyabi bener kata hertod,5,seru enak dimainin nyabi hertod
klok segi main nya bagus. dari pada sebelum nya. tpi entah knapa jaringan bagus tpi pas login tidak ada jaringan. dan tidak bisa bermain. tlong perbaiki.,1,segi bagus tapi knapa koneksi bagus tapi login tidak koneksi tidak main tlong baik
"min kenapa S3 astro Dihilangkan itu ICONIC kita loh 😭 setiap sinergi ada masanya setiap masa ada astro nya""",5,min astro hilang iconic sinergi masa astro
developer tolong perbaiki sistem rolling supaya ketika roll dapat Hero yang sesuai atau diinginkan,4,developer tolong baik sistem rolling roll hero sesuai
"mantap,seru,bisa mabar,ada combo, dan ada meta santet😁👍🏻",5,mantapserubisa mabarada combo meta santet
"Ini apa dh, ga bisa login tulisan nya jaringan bermasalah terus, padahal udh pake data, wifi, Hotspot, install ulang, Masih begitu...",1,tidak login tulis koneksi masalah data wifi hotspot install ulang
agoss sangar,5,agoss sangar
"saya pemain lama, update cepat yg dilakukan benar² membuat gameplay tidak membosankan, meskipun ada beberapa hal yg saya tidak sukai seperti mengganti commander lama menjadi down commander mereka yg asli, tapi tidak apa² karena saya masih bisa menikmati gamenya",5,main update cepat benar gameplay tidak bosan tidak suka ganti commander down commander asli tapi tidak apa nikmat
seru beri akun Daimon dong monton,5,seru akun daimon monton
"Hero nya pada ke manain, tiap main saya tidak dapat Hero yang di butuhkan, good game👏👏 sehat"" min",1,hero manain tidak hero butuh good sehat min
kasih aku biji astro sebanyak banyaknya woiii ntar ku kasih bintang 5🤌,3,biji astro banyak woiii entar bintang
plis buf comender ragnar balikin seperti awal dulu hp di bawa 25 persen nambah 4 persen,5,plis buf comender ragnar balikin ponsel bawa persen tambah persen
"apa apaan main selalu dapat gogo card nya sampah ga guna giliran lawannya selalu dapat gogo card magic cristal, kemungkinan dapat gogo card nya magic cristal nya kecil mau gogo card ungu atau kuning jarang banget dapat magic cristal sekali keluar ga cocok sama sinergi yg mau di mainin capekk dah",1,gogo card sampah tidak gilir lawan gogo card cristal gogo card cristal gogo card ungu kuning jarang cristal tidak cocok sinergi mainin capekk
game susah bgt cari Hero yang di ingin kan jir,1,susah cari hero jir
montoon tolong ubah stelan ulang bitang sama angka ranknya masa dari epic 10 yang bener aja,5,montoon tolong ubah stelan ulang bitang angka ranknya epic
bagus banget geme yang rugi kalo gak main,5,bagus rugi tidak
"moonton,tollong kembalikan skill tharz dulu",4,moontontollong kembali skill tharz
ini game nggak pernah bosen gue,5,bosan gue
suka sekali mantap gak bosenin,5,suka mantap tidak bosenin
"Lumayan,Tapi lebih Seru Pilih Magic Crystal",4,lumayantapi seru pilih crystal
"game yg sangat santai bagi saya, cocok untuk di mainkan bagi org sibuk seperti saya",5,santai cocok main orang sibuk
mantap dan keren,4,mantap keren
emang gila moonton gak pernah dapat Hero yang aku pake,1,gila tidak hero
"kalah teruss ,, game aneh",1,kalah aneh
sofar masih bnyk masalh sih tp overall mantap sih,5,sofar masalh tapi overall mantap
ini tolong Apus aja comender yang bisa nyerang Hero ini kami sebagai manusia roll atas darah comender kami bocor terus ini kalah terus di Erly game tolong Apus aja lah,1,tolong hapus comender serang hero manusia roll darah comender bocor kalah erly tolong hapus
"MOONTON MENCURI DIAMOND, SUDAH TOP UP 3,7 JT MALAH GAK DIKIRIM",1,curi diamond top up juta tidak kirim
"mcgg mengkonsumsi daya baterai lebih banyak daripada mlbb. tolong perbaiki, ini tidak efisien karena boros daya. rank juga tidak seimbang, angka romawinya tidak dicocokkan.",4,konsumsi daya baterai mlbb tolong baik tidak efisien boros daya rank tidak imbang angka romawi tidak cocok
Effort terus Magic Chess,5,effort
game burik ga jelas!!,1,burik tidak
TOLONG UNTUK HERO YU ZONG DI KASIH SKILL YANG BAGUS. MASA HERO HARGA 5 AMPAS KAYAK HARGA 3. LALU SINERGI ERODITIO DI PERMUDAH ROLL NYA. MASA GAK ADA YANG NABRAK SINERGI NYA HERO NYA SUSAH MUNCUL SEMUA.,3,tolong hero yuk zong skill bagus hero harga ampas harga sinergi eroditio mudah roll tidak nabrak sinergi hero susah muncul
waktu memilih hero harusnya tambah waktu lagi,4,pilih hero
its the best,5,its the best
"data ada,wifi nyambung tiba-tiba dalam pertandingan ngeleg parah,setelah 4-5 babak baru bisa lagi",1,data adawifi sambung tibatiba tanding lag parahsetelah babak
bagus bangetttttttttttttt,5,bagus bangetttttttttttttt
"musiknya sangat mengganggu kalau main mabar on mic. tolonglah jangan anggap yg maen bocah semua. cara matiin musiknya gimana tanpa harus no aktifkan volume tombol n lainnya selain musik, bikin berisik",2,musik ganggu mabar on mic tolong jangan anggap bocah matiin musik nomor aktif volume tombol n musik berisik
tolong ya ini aku komplen ke cs nya di mc gak ada balesan sama sekali,3,tolong komplen cs tidak balesan
inpo lawan id majukausini,5,inpo lawan id majukausini
bagus suka penghilang stress buat ngisi waktu bete,5,bagus suka hilang stres ngisi bete
"game play semakin buruk ,, dari awal mgc chest .. hanya era sekarang yang paling buruk. -skill hero di kurangi -hero di perbanyak dgn skil ga guna -creator pun bingung mau buat konten -player yg vakum pasti bingung main di era sekarang",1,play buruk mgc chest era buruk skill hero kurang hero banyak skil tidak creator bingung konten player vakum bingung era
bagus game nya saya suka bngt .cuma bikin pusing ada baru trus synergy nya,5,bagus suka pusing synergy
ok lh bagus KLO bisa kasih magic Cristal di awal saja,5,ok bagus cristal
oke acc,5,ok acc
sama aja kek ml gk beda jauh ada aja dari sistem babbi,1,ml tidak beda sistem babbi
cocok buat yang kesepian😔,5,cocok sepi
hero nya semakin banyak.. muantep,5,hero muantep
menghibur...tp sayangnya Hero nya g dikasih nama sulit milih nya bagi pemula,5,menghiburtp sayang hero kasih nama sulit pilih mula
game haram baru naik rank nya 1bintang malah di turunin ber kali²,1,haram rank bintang turunin ber kali
ko balik lagi ke warior padahal belum season aneh nih benerin dong bug nya,2,warior belum season aneh nih benerin bug
permainan yang sangat baik untuk orang yang tidak dapat dipisahkan dengan cara seperti itu,5,main orang tidak pisah
sejauh ini saya belum menemukan bug atau kesalahan pada game magic chess go go ini,5,belum temu bug salah
asik min sini,5,asik min
game ini sangat menabjub kann,5,menabjub
"najis bener suka gak ngotak ngasih heronya, berkali"" gak dikasih jadi sementara yg lain hero plus sinergy nya jadi ngerol abis""an malah bikin bangkrut",1,najis suka tidak ngotak asih hero kali tidak kasih hero plus sinergy ngerol abis bangkrut
Semenjak gua dapet hoki eru 99 stak.Habis itu kalah terus.Dapat hero yang ngga gua pakai.Gua udah pake sinergy meta tapi heronya kaga dapet dapet.Tolong lah persentase dapet hero yang dibutuin di naikin.Sama satu lagi mau up lv comander susah banget haro nunggu chess.Yang dapetnya cuman 1 sehari.Itu aja kalo hoki dapet comander.Mau beli pake uang tapi susah banget dapetnya dapet sedikit doang.,5,semenjak untung eru stakhabis kalah terusdapat hero pakaigua sinergy meta tapi hero kagak dapettolong persentase hero dibutuin naikinsama up lv comander susah haro nunggu chessyang dapetnya cuman sehariitu untung comandermau beli uang tapi susah dapetnya sedikit doang
yeaaaahhhhh ..,4,yeaaaahhhhh
"game aneh, main Synergy sama lawan sama bisa kalah kan aneh",1,aneh synergy lawan kalah aneh
ntapa,5,ntapa
game bagus sama hero doowsroom terkadang muncul hanabi,5,bagus hero doowsroom terkadang muncul hanabi
permainan strategi yang sangat seru dan mengasah otak🔥🔥🔥,5,main strategi seru asah otak
maksih sudah di kembalikan versi doloe,5,terima kembali versi doloe
enak tapi lawan nya ga ada otak kalau rang tinggi,4,enak tapi lawan tidak otak rang
TOLONG DONG UNTUK MOONTON PERBAIKI SUKA TIBA TIBA NGESTAK GAK BISA NGAPANGAPAIN PADAHAL JARINGAN BAGUS.KALO EMANG ITU DARI HP NYA GAK MUNGKIN SIH SOALNYA HP SAYA NGEDUKUNG,3,tolong baik suka ngestak tidak ngapangapain koneksi baguskalo ponsel tidak ponsel dukung
"Game Gak jelas, tapi saya suka.....",5,tidak tapi suka
ntapas,5,ntapas
Keren sih mc gogo,5,keren gogo
game yg bagus untuk mengasah kreatifitas dengan pola bermain yg santai,5,bagus asah kreatifitas pola main santai
"Game Rusak, Astro 6, DawnBringer 6 kok kalah sama 6 Astro 5 mage. Game Rusak",1,rusak astro dawnbringer kalah astro mage rusak
seruuuuu,5,seruuuuu
"gw udah uinstal dongg,,ngapain miara game beginian ga ada ssik asiknya",1,uinstal donggngapain piara tidak ssik asiknya
okey,5,okey
kasih aku mendownload dong moonton please game ini satu-satunya terbaik di dunia moonton,1,mendownload please satusatunya baik dunia
kurang lancar ada bug,3,kurang lancar bug
permainan sangat menyenangkan menghibur,5,main senang hibur
curang sama hero yang bisa nembak.. kasian yang gak bisa nembak udah kalah...,4,curang hero tembak kasihan tidak tembak kalah
lumayan buat waktu luang,4,lumayan luang
waktu masuk game nya loding nya lama tolong lah c k,1,masuk loding tolong
Tambah comenderna,5,comenderna
peyimpanan ya dikecil kan karna hp gua kentang,5,peyimpanan kecil ponsel kentang
lebih suka gameplay yg dulu sih,1,suka gameplay
"seruu bangett liat hero mini mini, tolong tambahkan afinitas juga dong min kaya ml-nya, saya mau pasang lovers sm cowo saya hehe",4,seru lihat hero mini mini tolong tambah afinitas min mlnya pasang lovers cowok hehe
mengasikakn,5,mengasikakn
bagus sekali buat ngilangin gabut di kantor,5,bagus ngilangin bosan kantor
terimakasih hiburanya,5,terimakasih hiburanya
game nya bagus sesuai ekspektasi dan enaknya banyak event gratis commander sama skin intinya gamenya sesuai dan menarik banget buat aku yg punya waktu luang sedikit,5,bagus sesuai ekspektasi enak event gratis commander skin inti sesuai tarik luang sedikit
gg ini game minusnya gw push rank dari legend ke myitic susah bet wkwk canda ya 😅😅,5,minus push rank legend myitic susah wkwk canda
"udah tau kn dari komen yang ngasih bintang 1/2? aq disini gk mau komen karna aq tau gk akan ada perubahan, banyak kcurangan d game ini seolah"" semua dseting untuk beberapa orang",1,komen asih bintang tidak komen tidak ubah kcurangan dseting orang
nggak bisa download resource,2,download resource
seru soal nya aku player doomsworn,5,seru player doomsworn
"makin kemari makin buat emosi, game kok buat emosi??? menang itu hoki bagi kami, kenapa setiap menang, di jamin next game kalah, lose streak, sistem yg sangat jelek, agar kami bermain terus??? tolonglah, perbaiki sistem role heronyo, terlalu menentukan nasib, seperti perjudian ini game, kalah berrti anda gak hoki, menang anda hoki, system yang buruk untuk sebuah game,",1,kemari emosi emosi menang untung menang jamin next kalah lose streak sistem jelek main tolong baik sistem role heronyo tentu nasib judi kalah berrti tidak untung menang untung sistem buruk
teman di saat galau,5,teman galau
terimakasih moonton telah menciptakan game ini yang menemaniku di saat pikiran stress,5,terimakasih cipta teman pikir stres
saya kasi bintang 3 aja soal ya suka banyak bag dan tidak adil dalam. hiro,3,bintang suka bag tidak adil hiro
oke gem nya asik,5,ok asik
"banyak bug,kikir pengen pake commander lain harus beli pake diamond,roll hero suka gajelas kalo sering menang",1,bugkikir commander beli diamondroll hero suka menang
"Udah banyak perbaikan. Ga kaya dulu mengecewakan. Next buatin commander ""Lolita"" dengan Skill setiap Commander musuh menyerang, memantulkan damage 25% ke dirinya",5,baik tidak kecewa next commander lolita skill commander musuh serang pantul damage
game nya seru apalagi banyak event gratis,5,seru event gratis
game ga adil udah cape cape naikin hero harga 4 gold kalah ama odet taiiii tl,1,tidak adil cape cape naikin hero harga gold kalah odet tahi tl
"capek main di kasih hero jelek mulu, tolong yee yang buat game jangan ngasih hero jelek mulu capek lose streak mulu liat aja deh riwayat main aku (id:17427090)",1,capek hero jelek mulu tolong jangan asih hero jelek mulu capek lose streak mulu lihat riwayat id
aku anak kecil apahka akan ada apdate lagi hero lain kya miya nana mathilda kpn apdate hero baru di magic chess gow gow aku ingin ada hero julian plis dn ksih tau kpn apdate hero lain,5,anak apahka apdate hero miya nana mathilda apdate hero gow gow hero juli plis apdate hero
Makin kesini makin hancur ini gamenya sudah tidak layal di mainkan,1,kesini hancur tidak layal main
bagus sekali tetapi skill komander Layla nya Nanggung banget darah hologram nya tipis abis tu kalau ada yg buff jangan di nerf kan lu yg buff,5,bagus tetapi skill komander layla nanggung darah hologram tipis habis buff jangan nerf lu buff
sinyal ijo tp delay mulu,1,sinyal ijo tapi delay mulu
kurang penjelasan harus mencari tau sendiri di luar aplikasi seperti menonton youtube maupun video pendek di platform lain,4,kurang jelas cari aplikasi tonton youtube video pendek platform
lebih bagus versi lama.,1,bagus versi
seru tapi santai.,5,seru tapi santai
"di kasi musuh glory Mulu padahal rank epic, itu g adil beda levelllllllllll",3,musuh glory mulu rank epic adil beda levelllllllllll
game ini minta di hapus njir. sekali menang kalah sampai 4 kali. Hero yg d pakai susah kali di kasih. kalau masih sama unistal aja lah. gak guna pun ni game babi,1,hapus anjir menang kalah hero pakai susah unistal tidak nih babi
S3 jangan mengulahh lagii lekk udah enakk ni,5,jangan mengulahh lekk enakk nih
lumayan sih tapi apa dia nya hanmpir siring iklan jadi y tidak masalah kalian download ini soal nya seru udah y cuma itu yg ku tau,4,lumayan tapi hanmpir siring iklan tidak download seru
Makin bingung dan gk adil karena susahnya mendapatkan sinergi yang maximal serta roll hero di rate paling tinggi keluarnya tapi malah susah. Tidak seperti sebelumnya yg masih satu aplikasi game.,2,bingung tidak adil susah sinergi maximal roll hero rate keluar tapi susah tidak aplikasi
"sekarang udah bagus, aset di ml seblumnya nya juga lancar biasa di dapat, SARAN AJA, Banyakin karakter hewan nya seperti sebelumnya jangan fokus ke hero mobal legend semngat untuk pengembangannya..",5,bagus aset ml seblumnya lancar saran banyak karakter hewan jangan fokus hero mobal legend semangat kembang
game hoki doang ini,1,untung doang
im a low elo dummy that also like mole 🤑,5,im a low lo dummy that also like mole
enakan pas masih satu game dengan ML. g harus pindah pindah aplikasi.,3,enak ml pindah pindah aplikasi
game suka ngebug tidak ramah bagi anak anak tapi bagus 👍😋,1,suka bug tidak ramah anak anak tapi bagus
"untuk user magic chees jgn pernah main magic chees lagi karna ad kutukan, kalah sekali kalah trus👎",2,user chees jangan chees kutu kalah kalah
gameplay udah bagus enak bngat main di saat santai...tp tolong hero gold 5 untuk yuzong serasa kurang optimal ULTI cmn muter dan gampang di counter,5,gameplay bagus enak bngat santaitp tolong hero gold yuzong serasa kurang optimal ulti cuman muter gampang counter
seru dan permainan strategi yang bagus,5,seru main strategi bagus
parah....terlalu sulit untuk menaikkan hero yg sudah kita setting dan refreshpun tidak membantu sama sekali...,1,parahterlalu sulit naik hero setting refreshpun tidak bantu
ribet ganti akun aja susah udah di arah ke FB malah kagak bisa lagian ngapain sih Mao ngasih skin tinggal kasih ga perlu mksa maen game ini,1,ribet ganti akun susah arah fb kagak mao asih skin tinggal tidak mksa
lumayan tapi kurang bagus jadi semoga makin bagus,4,lumayan tapi kurang bagus moga bagus
gemnya ngk bisa di ndowload tolong di benerin ya,2,gemnya tidak ndowload tolong benerin
"gamenya udah bagus banget, semoga kedepannya ga ada lagi bug yg buat tiba"" keluar sendiri pas pertandingan",5,bagus moga depan tidak bug tanding
nge lag nya paraah,4,nge lag parah
"gamenya bagus banget, tapi bisa gaa commander MC old nya di kembalikan Austus bukan aamon,tharz bukan liliya gituu maksudnya tapi cuma di mode MC old di rank tidak",5,bagus tapi commander old kembali austus bukan aamontharz bukan liliya maksud tapi mode old rank tidak
moonton kamu emang gatheeeel,1,gatheeeel
"kebanyakan bocah bocah dongo yang ga bisa main yang ngasih b1 temen gue aj yg baru main santai aja tuh lu pada yang alay dongo semua emng tolol di pelihara malah nyalahin developer nya kalo jaringan lu lemot ya berati koneksi lu tolol malah nyalahin server nya ngelag alesan aja kalo ga bisa main masalah rol? ya itu berati lu kagak hoki + ada caranya dongo buat dapetin hiro nya, ga semua bakal sesuai keinginan lo jangan asal nyalahin developer",5,banyak bocah bocah dongo tidak asih bintang teman gue santai tuh lu alay dongo tolol pelihara salah developer koneksi lu lambat berat koneksi lu tolol salah server lag alesan tidak rol berat lu kagak untung dongo hiro tidak sesuai lo jangan salah developer
game tooololl gk hoki hoki😡 aku merajuk 😤🤮🤮🤮🤮🤮🤮🥱🥱🥱tapi boong😜👈,5,tooololl tidak untung untung rajuk tapi bohong
masih ada buuaaaanyak bug,1,buuaaaanyak bug
permainan yg meyenangkan,4,main meyenangkan
game monton gk ad yg fair game rusak dark system,1,monton tidak fair rusak dark sistem
itu gunanya nge vote untuk ban comander apa ya? soalnya votingan terbanyak kagak pernah di ban comander nya,2,guna nge vote ban comander voting kagak ban comander
"Game yang sangat sangat bagus , ada vibes tersendiri",5,bagus vibes sendiri
mcgg ini keknya gapernah liat laporan pemain ya? orang buat laporan gapernah ditindak lanjutin aneh. kalo ga bisa sebaik magic chess dulu mending hapus aja bang. gaada nyaman nyamannya main mcgg ini. orang ngecheat sampe buat game lag gapernah ditindak lanjutin,1,kayak lihat lapor main orang lapor tindak lanjutin aneh tidak mending hapus nyaman nyaman orang ngecheat lag tindak lanjutin
