preprocess,kata_kunci,score,predicted_aspect,details
rusak parah men,"['rusak', 'parah', 'men']","{'effectiveness': 2.0, 'satisfaction': 1.8}",effectiveness,"{'effectiveness': [('rusak', 'rusak', 100.0), ('men', 'mencapai', 100.0)], 'satisfaction': [('rusak', 'frustasi', 80.0), ('men', 'mengakui', 100.0)]}"
skin mahal,"['skin', 'mahal']","{'effectiveness': 0.8, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [('mahal', 'masalah', 80.0)], 'satisfaction': [('skin', 'yakin', 85.71428571428572)]}"
lag sinyal bagus lag kalah ponsel sisa dikit ujung kalah,"['ponsel', 'kalah', 'sinyal', 'lag', 'ujung', 'dikit', 'sisa', 'bagus']","{'effectiveness': 2.69, 'satisfaction': 1.0}",effectiveness,"{'effectiveness': [('kalah', 'masalah', 88.88888888888889), ('lag', 'lag', 100.0), ('ujung', 'tujuan', 80.0)], 'satisfaction': [('bagus', 'bagus', 100.0)]}"
bagus tapi sinergi hero malas,"['hero', 'sinergi', 'bagus', 'tapi', 'malas']","{'effectiveness': 0.86, 'satisfaction': 2.86}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572)], 'satisfaction': [('bagus', 'bagus', 100.0), ('tapi', 'mantap', 85.71428571428572), ('malas', 'malas', 100.0)]}"
adu strategi,"['strategi', 'adu']","{'effectiveness': 0.8, 'satisfaction': 1.6}",satisfaction,"{'effectiveness': [('adu', 'dukungan', 80.0)], 'satisfaction': [('strategi', 'setara', 80.0), ('adu', 'adaptasi', 80.0)]}"
seru tapi shop kagak bintang bintang susah,"['bintang', 'shop', 'kagak', 'tapi', 'susah', 'seru']","{'effectiveness': 0, 'satisfaction': 3.66}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bintang', 'tenang', 80.0), ('tapi', 'mantap', 85.71428571428572), ('susah', 'susah', 100.0), ('seru', 'seru', 100.0)]}"
sulit blesing,"['blesing', 'sulit']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('blesing', 'bising', 80.0), ('sulit', 'kesulitan', 100.0)]}"
salah skill harper efek tidak ngaruh gameplay kurang damage comander tidak pengaruh shield daoat tidak kurang damage mohon baik,"['gameplay', 'ngaruh', 'skill', 'kurang', 'harper', 'damage', 'shield', 'efek', 'tidak', 'comander']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('kurang', 'curang', 90.9090909090909), ('damage', 'damai', 88.88888888888889)]}"
asik keren,"['keren', 'asik']","{'effectiveness': 1.66, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('keren', 'kebenaran', 80.0), ('asik', 'akurasi', 85.71428571428572)], 'satisfaction': [('keren', 'keren', 100.0), ('asik', 'motivasi', 85.71428571428572)]}"
susah sambungin akun ml nyaharusnya langsung login tidak login menang rank mythic tapi login,"['login', 'akun', 'sambungin', 'susah', 'mythic', 'rank', 'tidak', 'ml', 'tapi', 'langsung']","{'effectiveness': 2.51, 'satisfaction': 3.6}",satisfaction,"{'effectiveness': [('akun', 'akurasi', 85.71428571428572), ('rank', 'kebenaran', 85.71428571428572), ('langsung', 'lag', 80.0)], 'satisfaction': [('susah', 'susah', 100.0), ('rank', 'rancu', 85.71428571428572), ('tapi', 'mantap', 85.71428571428572), ('langsung', 'luang', 88.88888888888889)]}"
hei tinggal sbntr langsung main hanabi gue bintang aksjshsjjjs betmut,"['aksjshsjjjs', 'gue', 'hanabi', 'hei', 'betmut', 'langsung', 'bintang', 'main', 'sbntr', 'tinggal']","{'effectiveness': 0.8, 'satisfaction': 3.35}",satisfaction,"{'effectiveness': [('langsung', 'lag', 80.0)], 'satisfaction': [('gue', 'gelisah', 80.0), ('langsung', 'luang', 88.88888888888889), ('bintang', 'tenang', 80.0), ('main', 'manfaat', 85.71428571428572)]}"
mantap tolong rojernya biar cristal,"['cristal', 'rojernya', 'biar', 'tolong', 'mantap']","{'effectiveness': 1.8, 'satisfaction': 1.0}",effectiveness,"{'effectiveness': [('cristal', 'stabil', 80.0), ('tolong', 'pertolongan', 100.0)], 'satisfaction': [('mantap', 'mantap', 100.0)]}"
hero persen gede asih hero tidak sesuai,"['hero', 'gede', 'tidak', 'persen', 'sesuai', 'asih']","{'effectiveness': 2.51, 'satisfaction': 1.66}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('sesuai', 'selesai', 80.0), ('asih', 'akurasi', 85.71428571428572)], 'satisfaction': [('persen', 'keren', 80.0), ('asih', 'motivasi', 85.71428571428572)]}"
tidak kompeten,"['tidak', 'kompeten']","{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('kompeten', 'kompensasi', 85.71428571428572)]}"
susah hero koincontoh argusalfa gampang mati,"['hero', 'mati', 'argusalfa', 'susah', 'koincontoh', 'gampang']","{'effectiveness': 1.66, 'satisfaction': 3.8}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('argusalfa', 'rusak', 80.0)], 'satisfaction': [('mati', 'menikmati', 100.0), ('argusalfa', 'bagus', 80.0), ('susah', 'susah', 100.0), ('gampang', 'gampang', 100.0)]}"
darah sisa musuh darah otak,"['darah', 'otak', 'musuh', 'sisa']","{'effectiveness': 0, 'satisfaction': 0.89}",satisfaction,"{'effectiveness': [], 'satisfaction': [('musuh', 'rusuh', 88.88888888888889)]}"
bagus bayakin parapara,"['bagus', 'bayakin', 'parapara']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('bayakin', 'yakin', 100.0)]}"
kikir aneh kocak aneh tidak aneh kalok menang ggc jelek mulu kalok tidak niat asih alam enak main tidak kocak mah judi hoki,"['judi', 'aneh', 'hoki', 'jelek', 'kocak', 'kikir', 'kalok', 'tidak', 'enak', 'menang']","{'effectiveness': 0, 'satisfaction': 1.91}",satisfaction,"{'effectiveness': [], 'satisfaction': [('jelek', 'jelek', 100.0), ('menang', 'tenang', 90.9090909090909)]}"
bagus bintang,"['bintang', 'bagus']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bintang', 'tenang', 80.0), ('bagus', 'bagus', 100.0)]}"
asiik,['asiik'],"{'effectiveness': 0, 'satisfaction': 0}",unknown,"{'effectiveness': [], 'satisfaction': []}"
salah seru main,"['salah', 'main', 'seru']","{'effectiveness': 1.0, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('salah', 'kesalahan', 100.0)], 'satisfaction': [('main', 'manfaat', 85.71428571428572), ('seru', 'seru', 100.0)]}"
main senang tapi andal untung picik,"['untung', 'main', 'senang', 'tapi', 'picik', 'andal']","{'effectiveness': 0.8, 'satisfaction': 2.71}",satisfaction,"{'effectiveness': [('andal', 'kendali', 80.0)], 'satisfaction': [('main', 'manfaat', 85.71428571428572), ('senang', 'kesenangan', 100.0), ('tapi', 'mantap', 85.71428571428572)]}"
tidak strategi deskripsi untung hero equitment,"['hero', 'equitment', 'strategi', 'untung', 'tidak', 'deskripsi']","{'effectiveness': 1.71, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('deskripsi', 'opsi', 85.71428571428572)], 'satisfaction': [('strategi', 'setara', 80.0)]}"
asih naro hero bentar gila,"['naro', 'asih', 'hero', 'bentar', 'gila']","{'effectiveness': 3.35, 'satisfaction': 0.86}",effectiveness,"{'effectiveness': [('asih', 'akurasi', 85.71428571428572), ('hero', 'eror', 85.71428571428572), ('bentar', 'kebenaran', 83.33333333333334), ('gila', 'lag', 80.0)], 'satisfaction': [('asih', 'motivasi', 85.71428571428572)]}"
adil rol pilih hero,"['hero', 'rol', 'adil', 'pilih']","{'effectiveness': 2.71, 'satisfaction': 1.0}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('adil', 'detail', 85.71428571428572), ('pilih', 'pilihan', 100.0)], 'satisfaction': [('adil', 'adil', 100.0)]}"
maaf nih enk tb black screen login eh baru apa,"['login', 'screen', 'baru', 'black', 'maaf', 'nih', 'apa', 'tb', 'eh', 'enk']","{'effectiveness': 1.8, 'satisfaction': 3.6}",satisfaction,"{'effectiveness': [('nih', 'meraih', 80.0), ('apa', 'capaian', 100.0)], 'satisfaction': [('nih', 'nilai', 80.0), ('apa', 'harapan', 100.0), ('eh', 'sehat', 100.0), ('enk', 'capek', 80.0)]}"
wkwk bingung main tambah tidak lihat hero lawan tidak season klik pojok hero nya lawan pakai eh klik atu wkwk tahu nyonteknya,"['wkwk', 'nyonteknya', 'pojok', 'lawan', 'pakai', 'hero', 'bingung', 'tambah', 'lihat', 'tahu']","{'effectiveness': 2.46, 'satisfaction': 2.51}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0), ('hero', 'eror', 85.71428571428572), ('lihat', 'pilihan', 80.0)], 'satisfaction': [('lawan', 'kelelahan', 80.0), ('bingung', 'bising', 80.0), ('tambah', 'menambah', 90.9090909090909)]}"
tidak seru monton pelit hero naikin bintang susah monton monton,"['pelit', 'susah', 'bintang', 'hero', 'naikin', 'monton', 'tidak', 'seru']","{'effectiveness': 1.66, 'satisfaction': 4.43}",satisfaction,"{'effectiveness': [('pelit', 'ketelitian', 80.0), ('hero', 'eror', 85.71428571428572)], 'satisfaction': [('susah', 'susah', 100.0), ('bintang', 'tenang', 80.0), ('naikin', 'yakin', 80.0), ('monton', 'monoton', 83.33333333333334), ('seru', 'seru', 100.0)]}"
line up sinergi lobby tapi susah ketemu hero sesuai line up sinergi sial,"['sinergi', 'lobby', 'susah', 'hero', 'line', 'tapi', 'ketemu', 'sesuai', 'sial']","{'effectiveness': 3.31, 'satisfaction': 2.71}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('ketemu', 'ketepatan', 80.0), ('sesuai', 'selesai', 80.0), ('sial', 'hasil', 85.71428571428572)], 'satisfaction': [('susah', 'susah', 100.0), ('tapi', 'mantap', 85.71428571428572), ('sial', 'kesal', 85.71428571428572)]}"
situasi perang gogo solusi,"['gogo', 'solusi', 'perang', 'situasi']","{'effectiveness': 1.8, 'satisfaction': 1.74}",effectiveness,"{'effectiveness': [('solusi', 'solusi', 100.0), ('perang', 'pengawasan', 80.0)], 'satisfaction': [('perang', 'terang', 90.9090909090909), ('situasi', 'frustasi', 83.33333333333334)]}"
commander tidak pilih skill pilih salah skill turut kurang puas skin mcpass hilang skin layla twilight player milik skin limited transformer johnson hilang kecewa player kurang harga player,"['commander', 'player', 'skill', 'johnson', 'kecewa', 'kurang', 'skin', 'mcpass', 'milik', 'hilang']","{'effectiveness': 0, 'satisfaction': 3.66}",satisfaction,"{'effectiveness': [], 'satisfaction': [('kecewa', 'kekecewaan', 100.0), ('kurang', 'curang', 90.9090909090909), ('skin', 'yakin', 85.71428571428572), ('hilang', 'luang', 88.88888888888889)]}"
error tanding mending gabung misah app tidak,"['error', 'app', 'misah', 'gabung', 'mending', 'tanding', 'tidak']","{'effectiveness': 1.66, 'satisfaction': 3.5}",satisfaction,"{'effectiveness': [('error', 'eror', 85.71428571428572), ('app', 'lengkap', 80.0)], 'satisfaction': [('app', 'gelap', 80.0), ('misah', 'gelisah', 88.88888888888889), ('gabung', 'gabut', 88.88888888888889), ('mending', 'meningkatkan', 92.3076923076923)]}"
bagus tapi combo sinergi tidak ngaruh commander campur war,"['commander', 'war', 'sinergi', 'tapi', 'tidak', 'combo', 'campur', 'ngaruh', 'bagus']","{'effectiveness': 0.8, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [('war', 'lancar', 80.0)], 'satisfaction': [('war', 'segar', 80.0), ('tapi', 'mantap', 85.71428571428572), ('bagus', 'bagus', 100.0)]}"
hero jarang,"['hero', 'jarang']","{'effectiveness': 1.66, 'satisfaction': 0.8}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('jarang', 'kebenaran', 80.0)], 'satisfaction': [('jarang', 'curang', 80.0)]}"
season nostalgia peti menang,"['nostalgia', 'season', 'peti', 'menang']","{'effectiveness': 0, 'satisfaction': 0.91}",satisfaction,"{'effectiveness': [], 'satisfaction': [('menang', 'tenang', 90.9090909090909)]}"
mantap ponsel kentang tapi enakapalagi fiturnya,"['ponsel', 'kentang', 'fiturnya', 'enakapalagi', 'mantap', 'tapi']","{'effectiveness': 1.0, 'satisfaction': 2.69}",satisfaction,"{'effectiveness': [('enakapalagi', 'lag', 100.0)], 'satisfaction': [('kentang', 'tenang', 83.33333333333334), ('mantap', 'mantap', 100.0), ('tapi', 'mantap', 85.71428571428572)]}"
seru senang terkadang untung,"['senang', 'terkadang', 'untung', 'seru']","{'effectiveness': 0, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('senang', 'kesenangan', 100.0), ('terkadang', 'sedang', 80.0), ('seru', 'seru', 100.0)]}"
pilih uy tidak dapet gacha koin,"['koin', 'gacha', 'pilih', 'dapet', 'tidak', 'uy']","{'effectiveness': 1.86, 'satisfaction': 1.66}",effectiveness,"{'effectiveness': [('koin', 'konstan', 85.71428571428572), ('pilih', 'pilihan', 100.0)], 'satisfaction': [('koin', 'yakin', 85.71428571428572), ('dapet', 'adaptasi', 80.0)]}"
kurang untung,"['kurang', 'untung']","{'effectiveness': 0, 'satisfaction': 0.91}",satisfaction,"{'effectiveness': [], 'satisfaction': [('kurang', 'curang', 90.9090909090909)]}"
suka ml tidak,"['tidak', 'suka', 'ml']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('suka', 'suka', 100.0)]}"
optimal bahas salah,"['optimal', 'salah', 'bahas']","{'effectiveness': 1.0, 'satisfaction': 0.86}",effectiveness,"{'effectiveness': [('salah', 'kesalahan', 100.0)], 'satisfaction': [('optimal', 'malu', 85.71428571428572)]}"
super mantap keren,"['super', 'keren', 'mantap']","{'effectiveness': 0.8, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [('keren', 'kebenaran', 80.0)], 'satisfaction': [('keren', 'keren', 100.0), ('mantap', 'mantap', 100.0)]}"
alhamdulillah ketemu,"['ketemu', 'alhamdulillah']","{'effectiveness': 0.8, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('ketemu', 'ketepatan', 80.0)], 'satisfaction': []}"
sagat,['sagat'],"{'effectiveness': 0, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('sagat', 'semangat', 80.0)]}"
cuki mai tharsnya cuki mai,"['cuki', 'mai', 'tharsnya']","{'effectiveness': 0.8, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [('mai', 'selesai', 80.0)], 'satisfaction': [('cuki', 'cukup', 85.71428571428572), ('mai', 'damai', 100.0), ('tharsnya', 'senyap', 80.0)]}"
reset blesing meg tidak sesuai synergi pakai,"['reset', 'synergi', 'meg', 'blesing', 'pakai', 'sesuai', 'tidak']","{'effectiveness': 1.6, 'satisfaction': 1.6}",effectiveness,"{'effectiveness': [('meg', 'mencapai', 80.0), ('sesuai', 'selesai', 80.0)], 'satisfaction': [('meg', 'mengakui', 80.0), ('blesing', 'bising', 80.0)]}"
hai tidak tidak spin tidak event dikit,"['spin', 'dikit', 'tidak', 'event', 'hai']","{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('hai', 'selesai', 80.0)], 'satisfaction': [('hai', 'nilai', 80.0)]}"
bagus cocok anak jaman new catur,"['catur', 'bagus', 'cocok', 'jaman', 'new', 'anak']","{'effectiveness': 0, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('jaman', 'aman', 100.0)]}"
seru nih untung hoki kadang juara hero kalah,"['juara', 'hoki', 'kalah', 'hero', 'nih', 'untung', 'kadang', 'seru']","{'effectiveness': 2.55, 'satisfaction': 2.6}",satisfaction,"{'effectiveness': [('kalah', 'masalah', 88.88888888888889), ('hero', 'eror', 85.71428571428572), ('nih', 'meraih', 80.0)], 'satisfaction': [('nih', 'nilai', 80.0), ('kadang', 'sedang', 80.0), ('seru', 'seru', 100.0)]}"
bagus ngilangin mood jelek tapi kadang stres tapi ngilangin dikit is okey,"['kadang', 'mood', 'stres', 'ngilangin', 'bagus', 'dikit', 'tapi', 'okey', 'jelek']","{'effectiveness': 0, 'satisfaction': 5.46}",satisfaction,"{'effectiveness': [], 'satisfaction': [('kadang', 'sedang', 80.0), ('stres', 'stres', 100.0), ('ngilangin', 'nilai', 80.0), ('bagus', 'bagus', 100.0), ('tapi', 'mantap', 85.71428571428572), ('jelek', 'jelek', 100.0)]}"
jangan top up rusak uang masuk tapi diamond hilang rusak,"['diamond', 'rusak', 'uang', 'jangan', 'hilang', 'tapi', 'masuk']","{'effectiveness': 3.46, 'satisfaction': 5.31}",satisfaction,"{'effectiveness': [('rusak', 'rusak', 100.0), ('uang', 'tujuan', 85.71428571428572), ('jangan', 'dukungan', 80.0), ('masuk', 'maksud', 80.0)], 'satisfaction': [('rusak', 'frustasi', 80.0), ('uang', 'luang', 100.0), ('jangan', 'kesenangan', 90.9090909090909), ('hilang', 'luang', 88.88888888888889), ('tapi', 'mantap', 85.71428571428572), ('masuk', 'suka', 85.71428571428572)]}"
ches biar ngabutt ml rank kalah turus wkwkww,"['wkwkww', 'ches', 'rank', 'ngabutt', 'biar', 'turus', 'ml', 'kalah']","{'effectiveness': 1.75, 'satisfaction': 1.86}",satisfaction,"{'effectiveness': [('rank', 'kebenaran', 85.71428571428572), ('kalah', 'masalah', 88.88888888888889)], 'satisfaction': [('rank', 'rancu', 85.71428571428572), ('ngabutt', 'gabut', 100.0)]}"
sumpah seru lawan tara menang,"['menang', 'sumpah', 'lawan', 'tara', 'seru']","{'effectiveness': 1.66, 'satisfaction': 3.71}",satisfaction,"{'effectiveness': [('lawan', 'kesalahan', 80.0), ('tara', 'target', 85.71428571428572)], 'satisfaction': [('menang', 'tenang', 90.9090909090909), ('lawan', 'kelelahan', 80.0), ('tara', 'setara', 100.0), ('seru', 'seru', 100.0)]}"
asih musuh tidak tara cari hero tidak asih butuh jelek bug tidak benerin rilis,"['musuh', 'jelek', 'hero', 'butuh', 'benerin', 'cari', 'tidak', 'bug', 'tara', 'rilis']","{'effectiveness': 4.57, 'satisfaction': 3.69}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('butuh', 'utuh', 100.0), ('cari', 'lancar', 85.71428571428572), ('bug', 'bug', 100.0), ('tara', 'target', 85.71428571428572)], 'satisfaction': [('musuh', 'rusuh', 88.88888888888889), ('jelek', 'jelek', 100.0), ('bug', 'buruk', 80.0), ('tara', 'setara', 100.0)]}"
seru ngilangin jenuh,"['ngilangin', 'seru', 'jenuh']","{'effectiveness': 0.89, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [('jenuh', 'penuh', 88.88888888888889)], 'satisfaction': [('ngilangin', 'nilai', 80.0), ('seru', 'seru', 100.0), ('jenuh', 'jenuh', 100.0)]}"
bagus mantap seru,"['bagus', 'mantap', 'seru']","{'effectiveness': 0, 'satisfaction': 3.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0), ('mantap', 'mantap', 100.0), ('seru', 'seru', 100.0)]}"
suka setrategis tapi sayang durasi tapi senang mainin,"['suka', 'senang', 'tapi', 'durasi', 'mainin', 'sayang', 'setrategis']","{'effectiveness': 1.71, 'satisfaction': 4.57}",satisfaction,"{'effectiveness': [('durasi', 'akurasi', 90.9090909090909), ('sayang', 'pemeriksaan', 80.0)], 'satisfaction': [('suka', 'suka', 100.0), ('senang', 'kesenangan', 100.0), ('tapi', 'mantap', 85.71428571428572), ('sayang', 'lumayan', 80.0), ('setrategis', 'setara', 90.9090909090909)]}"
seru enak dimainin nyabi hertod,"['enak', 'hertod', 'seru', 'nyabi', 'dimainin']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('seru', 'seru', 100.0), ('dimainin', 'damai', 80.0)]}"
segi bagus tapi knapa koneksi bagus tapi login tidak koneksi tidak main tlong baik,"['login', 'koneksi', 'main', 'knapa', 'segi', 'tlong', 'tidak', 'bagus', 'baik', 'tapi']","{'effectiveness': 1.6, 'satisfaction': 4.57}",satisfaction,"{'effectiveness': [('knapa', 'mencapai', 80.0), ('tlong', 'pertolongan', 80.0)], 'satisfaction': [('main', 'manfaat', 85.71428571428572), ('segi', 'segar', 85.71428571428572), ('bagus', 'bagus', 100.0), ('baik', 'baik', 100.0), ('tapi', 'mantap', 85.71428571428572)]}"
min astro hilang iconic sinergi masa astro,"['astro', 'hilang', 'sinergi', 'masa', 'iconic', 'min']","{'effectiveness': 1.0, 'satisfaction': 2.55}",satisfaction,"{'effectiveness': [('masa', 'masalah', 100.0)], 'satisfaction': [('hilang', 'luang', 88.88888888888889), ('masa', 'cemas', 85.71428571428572), ('min', 'yakin', 80.0)]}"
developer tolong baik sistem rolling roll hero sesuai,"['roll', 'rolling', 'developer', 'hero', 'sistem', 'tolong', 'sesuai', 'baik']","{'effectiveness': 2.66, 'satisfaction': 1.0}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('tolong', 'pertolongan', 100.0), ('sesuai', 'selesai', 80.0)], 'satisfaction': [('baik', 'baik', 100.0)]}"
mantapserubisa mabarada combo meta santet,"['mantapserubisa', 'combo', 'santet', 'mabarada', 'meta']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('mantapserubisa', 'seru', 100.0), ('santet', 'santai', 80.0)]}"
tidak login tulis koneksi masalah data wifi hotspot install ulang,"['wifi', 'login', 'hotspot', 'koneksi', 'masalah', 'install', 'data', 'tidak', 'ulang', 'tulis']","{'effectiveness': 1.0, 'satisfaction': 0.89}",effectiveness,"{'effectiveness': [('masalah', 'masalah', 100.0)], 'satisfaction': [('ulang', 'luang', 88.88888888888889)]}"
agoss sangar,"['agoss', 'sangar']","{'effectiveness': 0.8, 'satisfaction': 0.8}",satisfaction,"{'effectiveness': [('agoss', 'lag', 80.0)], 'satisfaction': [('sangar', 'senang', 80.0)]}"
main update cepat benar gameplay tidak bosan tidak suka ganti commander down commander asli tapi tidak apa nikmat,"['commander', 'gameplay', 'ganti', 'cepat', 'bosan', 'asli', 'update', 'tapi', 'suka', 'apa']","{'effectiveness': 2.66, 'satisfaction': 5.51}",satisfaction,"{'effectiveness': [('cepat', 'ketepatan', 80.0), ('asli', 'akurasi', 85.71428571428572), ('apa', 'capaian', 100.0)], 'satisfaction': [('ganti', 'santai', 80.0), ('bosan', 'bosan', 100.0), ('asli', 'motivasi', 85.71428571428572), ('tapi', 'mantap', 85.71428571428572), ('suka', 'suka', 100.0), ('apa', 'harapan', 100.0)]}"
seru akun daimon monton,"['daimon', 'monton', 'seru', 'akun']","{'effectiveness': 0.86, 'satisfaction': 1.83}",satisfaction,"{'effectiveness': [('akun', 'akurasi', 85.71428571428572)], 'satisfaction': [('monton', 'monoton', 83.33333333333334), ('seru', 'seru', 100.0)]}"
hero manain tidak hero butuh good sehat min,"['hero', 'sehat', 'butuh', 'min', 'manain', 'good', 'tidak']","{'effectiveness': 1.86, 'satisfaction': 2.66}",satisfaction,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('butuh', 'utuh', 100.0)], 'satisfaction': [('sehat', 'sehat', 100.0), ('min', 'yakin', 80.0), ('manain', 'aman', 85.71428571428572)]}"
biji astro banyak woiii entar bintang,"['bintang', 'astro', 'biji', 'entar', 'woiii', 'banyak']","{'effectiveness': 0.8, 'satisfaction': 1.6}",satisfaction,"{'effectiveness': [('entar', 'kebenaran', 80.0)], 'satisfaction': [('bintang', 'tenang', 80.0), ('entar', 'tentram', 80.0)]}"
plis buf comender ragnar balikin ponsel bawa persen tambah persen,"['ponsel', 'bawa', 'plis', 'tambah', 'ragnar', 'persen', 'buf', 'balikin', 'comender']","{'effectiveness': 0.8, 'satisfaction': 3.37}",satisfaction,"{'effectiveness': [('buf', 'bug', 80.0)], 'satisfaction': [('tambah', 'menambah', 90.9090909090909), ('ragnar', 'ragu', 85.71428571428572), ('persen', 'keren', 80.0), ('buf', 'buruk', 80.0)]}"
gogo card sampah tidak gilir lawan gogo card cristal gogo card cristal gogo card ungu kuning jarang cristal tidak cocok sinergi mainin capekk,"['gogo', 'card', 'capekk', 'sampah', 'gilir', 'ungu', 'cristal', 'jarang', 'kuning', 'lawan']","{'effectiveness': 3.26, 'satisfaction': 3.4}",satisfaction,"{'effectiveness': [('card', 'lancar', 85.71428571428572), ('cristal', 'stabil', 80.0), ('jarang', 'kebenaran', 80.0), ('lawan', 'kesalahan', 80.0)], 'satisfaction': [('capekk', 'capek', 100.0), ('sampah', 'samar', 80.0), ('jarang', 'curang', 80.0), ('lawan', 'kelelahan', 80.0)]}"
susah cari hero jir,"['hero', 'susah', 'jir', 'cari']","{'effectiveness': 1.71, 'satisfaction': 1.0}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('cari', 'lancar', 85.71428571428572)], 'satisfaction': [('susah', 'susah', 100.0)]}"
montoon tolong ubah stelan ulang bitang angka ranknya epic,"['angka', 'ranknya', 'ubah', 'montoon', 'epic', 'tolong', 'ulang', 'bitang', 'stelan']","{'effectiveness': 2.6, 'satisfaction': 4.4}",satisfaction,"{'effectiveness': [('angka', 'lengkap', 80.0), ('tolong', 'pertolongan', 100.0), ('stelan', 'konstan', 80.0)], 'satisfaction': [('angka', 'menyenangkan', 100.0), ('ubah', 'menambah', 85.71428571428572), ('montoon', 'monoton', 85.71428571428572), ('ulang', 'luang', 88.88888888888889), ('bitang', 'tenang', 80.0)]}"
bagus rugi tidak,"['bagus', 'rugi', 'tidak']","{'effectiveness': 0, 'satisfaction': 1.0}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bagus', 'bagus', 100.0)]}"
moontontollong kembali skill tharz,"['moontontollong', 'tharz', 'skill', 'kembali']","{'effectiveness': 0, 'satisfaction': 0.86}",satisfaction,"{'effectiveness': [], 'satisfaction': [('moontontollong', 'monoton', 85.71428571428572)]}"
bosan gue,"['bosan', 'gue']","{'effectiveness': 0, 'satisfaction': 1.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('bosan', 'bosan', 100.0), ('gue', 'gelisah', 80.0)]}"
suka mantap tidak bosenin,"['suka', 'mantap', 'tidak', 'bosenin']","{'effectiveness': 0, 'satisfaction': 2.8}",satisfaction,"{'effectiveness': [], 'satisfaction': [('suka', 'suka', 100.0), ('mantap', 'mantap', 100.0), ('bosenin', 'bosan', 80.0)]}"
lumayantapi seru pilih crystal,"['crystal', 'lumayantapi', 'pilih', 'seru']","{'effectiveness': 1.8, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [('crystal', 'stabil', 80.0), ('pilih', 'pilihan', 100.0)], 'satisfaction': [('lumayantapi', 'lumayan', 100.0), ('seru', 'seru', 100.0)]}"
santai cocok main orang sibuk,"['santai', 'sibuk', 'cocok', 'orang', 'main']","{'effectiveness': 0, 'satisfaction': 2.75}",satisfaction,"{'effectiveness': [], 'satisfaction': [('santai', 'santai', 100.0), ('orang', 'curang', 88.88888888888889), ('main', 'manfaat', 85.71428571428572)]}"
mantap keren,"['keren', 'mantap']","{'effectiveness': 0.8, 'satisfaction': 2.0}",satisfaction,"{'effectiveness': [('keren', 'kebenaran', 80.0)], 'satisfaction': [('keren', 'keren', 100.0), ('mantap', 'mantap', 100.0)]}"
gila tidak hero,"['hero', 'gila', 'tidak']","{'effectiveness': 1.66, 'satisfaction': 0}",effectiveness,"{'effectiveness': [('hero', 'eror', 85.71428571428572), ('gila', 'lag', 80.0)], 'satisfaction': []}"
